Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,56138.042969,56260.617188,53931.746094,54299.460938,53262.128906,620732
2011-01-04,54789.750000,55280.039063,53196.312500,54299.460938,53262.128906,622788
2011-01-05,53686.601563,55770.328125,53686.601563,54544.605469,53502.585938,764757
2011-01-06,55034.894531,55280.039063,53809.171875,54299.460938,53262.128906,779263
2011-01-07,54299.460938,55770.328125,54299.460938,55157.464844,54103.734375,826631
2011-01-10,55157.464844,55402.609375,52460.878906,52706.023438,51699.125000,1064483
2011-01-11,53196.312500,53196.312500,51480.300781,51848.019531,50857.515625,1308743
2011-01-12,52338.308594,52583.453125,50377.152344,51112.585938,50136.128906,1927974
2011-01-13,51235.156250,51357.730469,48906.285156,49641.718750,48693.363281,3258317
2011-01-14,49886.863281,50867.441406,49641.718750,50744.867188,49775.437500,1641302
2011-01-17,51357.730469,52583.453125,51235.156250,51725.445313,50737.281250,2107150
2011-01-18,51970.589844,52093.164063,49886.863281,50499.726563,49534.976563,1752682
2011-01-19,49886.863281,50254.582031,48538.570313,48906.285156,47971.972656,1952466
2011-01-20,49274.003906,50377.152344,49274.003906,50009.437500,49054.046875,1273870
2011-01-21,50254.582031,50622.296875,49641.718750,50254.582031,49294.519531,918858
2011-01-24,51357.730469,52951.167969,50867.441406,51480.300781,50496.824219,1891563
2011-01-25,50867.441406,51357.730469,50009.437500,50499.726563,49534.976563,1107262
2011-01-26,50990.011719,51480.300781,50132.007813,50254.582031,49294.519531,596722
2011-01-27,49886.863281,50990.011719,49396.574219,50009.437500,49054.046875,1134670
2011-01-28,50377.152344,50499.726563,49641.718750,49764.292969,48813.597656,594103
2011-01-31,49519.148438,49519.148438,47435.421875,49028.859375,48092.210938,924112
2011-02-01,49274.003906,50254.582031,48170.855469,48293.425781,47370.828125,808825
2011-02-07,49764.292969,50254.582031,49274.003906,50009.437500,49054.046875,1009197
2011-02-08,50377.152344,50499.726563,49764.292969,49886.863281,48933.828125,536720
2011-02-09,49519.148438,51235.156250,49274.003906,50622.296875,49655.203125,1395692
2011-02-10,50009.437500,50377.152344,48906.285156,49028.859375,48092.210938,945373
2011-02-11,49641.718750,49641.718750,45841.984375,45841.984375,44966.222656,1909259
2011-02-14,46209.699219,47067.703125,45964.554688,46454.843750,45567.367188,973214
2011-02-15,46822.558594,46822.558594,45596.839844,45841.984375,44966.222656,1214137
2011-02-16,45351.695313,46454.843750,45351.695313,45841.984375,44966.222656,754057
