term,variable,importances,rank,model
30일,KOSPI,0.07015616082339535,1.0,forest
30일,MA60,0.06934492341268081,2.0,forest
30일,S&P500,0.06412668466258231,3.0,forest
30일,SOX,0.055426596566300224,4.0,forest
30일,ATR,0.05002700379941518,5.0,forest
30일,lb,0.044607572236923056,6.0,forest
30일,Adj Close,0.04372657385183138,7.0,forest
30일,Close,0.04363588804537956,8.0,forest
30일,ROC,0.041694560951300315,9.0,forest
30일,VIX,0.041259231917378736,10.0,forest
30일,MACD,0.03951392933326176,11.0,forest
30일,ub,0.03838630299869015,12.0,forest
30일,middle,0.03664583022448724,13.0,forest
30일,High,0.035339788677189975,14.0,forest
30일,MA20,0.03523410043036041,15.0,forest
30일,Low,0.034782770778228195,16.0,forest
30일,RASD10,0.030586165407548802,17.0,forest
30일,MA10,0.03024090774137669,18.0,forest
30일,MA5,0.02908420744983357,19.0,forest
30일,Open,0.028032080004343835,20.0,forest
30일,RASD5,0.023331876369745184,21.0,forest
30일,CCI,0.02232456315002647,22.0,forest
30일,WPR,0.02180393812103367,23.0,forest
30일,MTM3,0.01638995113020443,24.0,forest
30일,Volume,0.01629308538573886,25.0,forest
30일,next_rtn,0.013437841861997356,26.0,forest
30일,log_return,0.013283450210175058,27.0,forest
30일,MTM1,0.011284014458571445,28.0,forest
30일,MA60,266.0,1.0,lgb
30일,KOSPI,223.0,2.0,lgb
30일,S&P500,218.0,3.0,lgb
30일,ATR,210.0,4.0,lgb
30일,SOX,199.0,5.0,lgb
30일,VIX,166.0,6.0,lgb
30일,ROC,159.0,7.0,lgb
30일,MACD,158.0,8.0,lgb
30일,lb,129.0,9.0,lgb
30일,MA20,122.0,10.0,lgb
30일,Close,113.0,11.0,lgb
30일,WPR,112.0,12.0,lgb
30일,RASD10,109.0,13.0,lgb
30일,ub,90.0,14.0,lgb
30일,MTM3,88.0,15.0,lgb
30일,Volume,87.0,16.0,lgb
30일,High,67.0,17.0,lgb
30일,CCI,60.0,18.0,lgb
30일,MA10,57.0,19.5,lgb
30일,RASD5,57.0,19.5,lgb
30일,Low,53.0,21.0,lgb
30일,next_rtn,51.0,22.0,lgb
30일,log_return,48.0,23.5,lgb
30일,Open,48.0,23.5,lgb
30일,Adj Close,46.0,25.0,lgb
30일,MA5,41.0,26.0,lgb
30일,MTM1,23.0,27.0,lgb
30일,middle,0.0,28.0,lgb
30일,Low,0.08852806687355042,1.0,xgb
30일,Adj Close,0.07328344136476517,2.0,xgb
30일,MA60,0.0709986686706543,3.0,xgb
30일,Close,0.06128665804862976,4.0,xgb
30일,KOSPI,0.05560959875583649,5.0,xgb
30일,High,0.053686194121837616,6.0,xgb
30일,S&P500,0.053442467004060745,7.0,xgb
30일,Open,0.045432254672050476,8.0,xgb
30일,ub,0.0450328029692173,9.0,xgb
30일,RASD10,0.04471321031451225,10.0,xgb
30일,SOX,0.044342540204524994,11.0,xgb
30일,MA10,0.03799663111567497,12.0,xgb
30일,ATR,0.03712797909975052,13.0,xgb
30일,lb,0.03328191488981247,14.0,xgb
30일,ROC,0.031340792775154114,15.0,xgb
30일,MA5,0.031201304867863655,16.0,xgb
30일,MACD,0.030281417071819305,17.0,xgb
30일,VIX,0.029201917350292206,18.0,xgb
30일,MA20,0.02618120238184929,19.0,xgb
30일,WPR,0.01742624118924141,20.0,xgb
30일,RASD5,0.017406972125172615,21.0,xgb
30일,MTM1,0.014810441993176937,22.0,xgb
30일,next_rtn,0.013641922734677792,23.0,xgb
30일,log_return,0.01354720164090395,24.0,xgb
30일,Volume,0.011596682481467724,25.0,xgb
30일,MTM3,0.009740633890032768,26.0,xgb
30일,CCI,0.00886076781898737,27.0,xgb
30일,middle,0.0,28.0,xgb
30일,KOSPI,0.10234967007087152,1.0,adaboost
30일,VIX,0.08840217623788829,2.0,adaboost
30일,ATR,0.08785495720385234,3.0,adaboost
30일,S&P500,0.08553895743191871,4.0,adaboost
30일,MA60,0.0791041874473482,5.0,adaboost
30일,SOX,0.07910204913908409,6.0,adaboost
30일,High,0.05476070408636293,7.0,adaboost
30일,lb,0.049776615543144824,8.0,adaboost
30일,MACD,0.048071408111271766,9.0,adaboost
30일,Close,0.047518132404310645,10.0,adaboost
30일,ROC,0.04156490015642479,11.0,adaboost
30일,Adj Close,0.03175394550375631,12.0,adaboost
30일,RASD10,0.027739815608498346,13.0,adaboost
30일,RASD5,0.027532370679402365,14.0,adaboost
30일,Low,0.0272931401450095,15.0,adaboost
30일,MTM3,0.018431300444965385,16.0,adaboost
30일,ub,0.01711986908672273,17.0,adaboost
30일,middle,0.014190872007708515,18.0,adaboost
30일,MA20,0.012473208568887464,19.0,adaboost
30일,WPR,0.012318635963346519,20.0,adaboost
30일,MA5,0.01110827826357523,21.0,adaboost
30일,CCI,0.008613839439978442,22.0,adaboost
30일,MA10,0.007669765670202078,23.0,adaboost
30일,log_return,0.007173188596689041,24.0,adaboost
30일,Open,0.005451100780363882,25.0,adaboost
30일,Volume,0.0052497762860585495,26.0,adaboost
30일,next_rtn,0.0018371351223575357,27.0,adaboost
30일,MTM1,0.0,28.0,adaboost
