stock_id,stock_name,stock_code,date,open,high,low,close,volume
1,NAVER,A035420,20210910,398000,416500,398000,410000,1326870
2,삼성전자,A005930,20210910,75300,75600,74800,75300,10103212
3,아모레퍼시픽,A090430,20210910,194000,196000,191500,194500,323756
4,현대차,A005380,20210910,208500,209500,204000,206500,678308
5,LG화학,A051910,20210910,748000,753000,740000,740000,267584
6,카카오,A035720,20210910,127000,133500,126000,130000,9918050
7,POSCO,A005490,20210910,360000,365000,359000,360000,309238
8,SK바이오사이언스,A302440,20210910,302500,308500,295000,299500,498577
9,엔씨소프트,A036570,20210910,608000,611000,601000,607000,192941
10,두산중공업,A034020,20210910,20850,21050,20250,20400,3469590
11,HMM,A011200,20210910,37900,38650,37500,38250,2817680
12,아시아나항공,A020560,20210910,24000,24600,23500,23850,1470118
13,한화솔루션,A009830,20210910,42350,42650,41700,42100,876245
14,신세계,A004170,20210910,273500,276500,271000,275500,49177
15,에스엠,A041510,20210910,62600,64500,59700,63100,899024
16,유한양행,A000100,20210910,63600,64700,62800,64300,263456
17,카카오게임즈,A293490,20210910,72600,76300,72300,73800,1144431
18,SK하이닉스,A000660,20210910,103500,105500,103000,105000,1999369
19,셀트리온,A068270,20210910,269500,271000,265500,267500,394088
20,현대모비스,A012330,20210910,276000,276500,265500,268000,400770
